"direction","line_name","org_name","dest_name","vech_name","weekend_status","day_of_year","time_of_day","non_neg_delay"
0,"Bx36","W 179 ST/BROADWAY","SOUNDVIEW PUGSLEY AV","NYCT_283",FALSE,296,864,14.5333333333333
1,"M21","GRAND ST/FDR DRIVE","SOHO SPRING ST CROSSTOWN","NYCT_3818",FALSE,278,599,0
0,"Q32","W 32 ST/7 AV","JACKSON HTS NORTHERN - 81 via ROOSVLT","NYCT_4660",TRUE,238,813,0
1,"Q24","ARCHER AV/MERRICK BL","LFYTT ST PTCHN AV via ATLNTC AV via BDWY","NYCT_6607",TRUE,169,624,0
1,"M101","ST NICHOLAS AV/W 192 ST","LTD EAST VILLAGE 6 ST via LEX AV","NYCT_5821",FALSE,181,897,0
0,"X12","SOUTH AV/RICHMOND TER","WEST MIDTOWN 57 ST via CHURCH ST via MAD","NYCT_2579",FALSE,293,526,8.3
0,"Q20B","MERRICK BL/ARCHER AV","COLLEGE PT via MAIN ST via 14 AV","NYCT_7379",FALSE,345,582,4.06666666666667
0,"S78","BRICKTOWN SHOPPING/CENTER","ST GEORGE FERRY via HYLAN","NYCT_8138",FALSE,355,419,10.45
0,"Bx7","ST NICHOLAS AV/W 167 ST","RIVERDALE 263 ST","NYCT_8373",FALSE,348,1129,2.95
1,"M10","FRED DOUGLASS BL/W 158 ST","COLUMBUS CIRCLE via CENTRAL PARK W.","NYCT_6648",FALSE,300,736,0
0,"Bx30","E 206 ST/ROCHAMBEAU AV","CO-OP CITY EARHART LA","NYCT_4082",FALSE,303,988,0
0,"B46","KINGS PLAZA","BRIDGE PLZ via UTICA","NYCT_5066",TRUE,343,657,6.31666666666667
0,"B82","HARWAY AV/BAY 37 ST","SPRING CRK TWRS SEAVIEW AV via KINGS HWY","NYCT_6601",FALSE,157,600,3.05
1,"Bx2","SEDGWICK AV/FT INDEPENDENCE ST","MOTT HAVEN 136 ST via CONCOURSE","NYCT_4754",FALSE,363,1179,13.2333333333333
0,"Bx27","SOUNDVIEW AV/STEPHENS AV","W FARMS RD SOUTHERN BL","NYCT_300",TRUE,358,1042,11.5333333333333
0,"B15","MARCUS GARVEY BL/BROADWAY","JFK AIRPORT","NYCT_4811",TRUE,288,742,1
1,"B8","ROCKAWAY AV/HEGEMAN AV","BAY RIDGE 95 ST STA","NYCT_670",TRUE,288,803,10.7
1,"Q5","WEST CIRCLE DR /PARKING STRUCTURE","JAMAICA PRSNS-ARCHR via MERRICK","NYCT_8440",TRUE,217,1222,13.1166666666667
1,"B17","EASTERN PY/UTICA AV","CANARSIE SEAVIEW AV","NYCT_6598",FALSE,352,1240,5.68333333333333
0,"B6","HARWAY AV/BAY 37 ST","LTD EAST NY NEW LOTS STA","NYCT_7166",FALSE,303,777,0.0333333333333333
1,"M4","MARGARET CORBIN DR/CLOISTERS","MIDTOWN PENN STA via BROADWAY via 5 AV","NYCT_3944",TRUE,162,1064,17.95
0,"Bx15","3 AV/WESTCHESTER AV","FORDHAM PLZ via 3 AV","NYCT_5823",FALSE,304,457,10.1666666666667
1,"S48","ST GEORGE FERRY/S48 & S98","ARLINGTON HOLLAND AV via FOREST","NYCT_7000",FALSE,158,1155,0.9
0,"Q31","ARCHER AV /SUTPHIN BL","BAYSIDE 27 AV F LEWIS BL","NYCT_7425",FALSE,290,1187,0.666666666666667
1,"B41","CADMAN PLAZA WEST/JOHNSON ST","KINGS PLAZA via FLATBSH","NYCT_4630",FALSE,164,1277,19.25
1,"Q17","138 ST/37 AV","JAMAICA ARCHER AV","NYCT_8093",FALSE,278,1431,5.75
1,"Bx7","RIVERDALE AV/W 263 ST","WASHINGTON HEIGHTS 166 ST via BROADWAY","NYCT_4407",FALSE,213,1022,2.06666666666667
0,"S78","BRICKTOWN SHOPPING/CENTER","ST GEORGE FERRY via HYLAN","NYCT_8175",FALSE,159,840,0
0,"Bx39","SOUNDVIEW AV/STEPHENS AV","WAKEFIELD 241 ST via WHITE PLS RD","NYCT_5686",FALSE,361,792,17.4
0,"Bx15","ST CLAIRE PL/W 125 ST","LIMITED FORDHAM PLZ via 3 AV","NYCT_5940",FALSE,164,622,2.9
1,"X15","TRINITY PL/RECTOR ST","ELTINGVILLE TRANSIT CTR via AR KILL RD","NYCT_2657",FALSE,165,1133,43.5166666666667
1,"S61","ST GEORGE FERRY/S61 & S91","S I MALL YUKON AV","NYCT_8189",FALSE,166,1113,5.66666666666667
1,"Bx15","3 AV/E FORDHAM RD","W. HARLEM 12 AV via 3 AV via 125 ST","NYCT_690",TRUE,358,675,8.06666666666667
0,"B35","39 ST/1 AV","LTD BROWNSVILLE M GASTON BL via CHURCH","NYCT_377",FALSE,240,907,3.76666666666667
0,"B15","MARCUS GARVEY BL/BROADWAY","JFK AIRPORT","NYCT_6837",TRUE,238,1238,11.7333333333333
0,"B6","HARWAY AV/BAY 37 ST","EAST NY NEW LOTS STA","NYCT_7155",TRUE,217,1427,3.76666666666667
0,"X28","CROPSEY AV/CANAL AV","MIDTOWN 57 ST via CHURCH via MADISON","NYCT_2426",FALSE,229,680,0.833333333333333
0,"M11","BETHUNE ST/GREENWICH ST","RIVERBANK 145 ST via 10 AV","NYCT_6411",FALSE,179,931,0
1,"M55","W 44 ST/6 AV","SOUTH FERRY","NYCT_4123",FALSE,171,773,22.9
1,"Bx41","WHITE PLAINS RD/E GUN HILL RD","THE HUB 150 ST via WEBSTER","NYCT_5754",FALSE,292,1174,0
1,"X19","WORTH ST/BROADWAY","ARDEN HTS HUGUENOT AV","NYCT_2739",FALSE,220,1077,20.8833333333333
0,"B8","4 AV/95 ST","BROWNSVILLE ROCKAWAY AV","NYCT_236",TRUE,295,1213,14.6333333333333
1,"Bx17","FORDHAM PLAZA/BUS TERMINAL","PT MORRIS 135 ST","NYCT_7707",FALSE,347,459,0
1,"B46-SBS","MALCOLM X BL/DE KALB AV","SELECT BUS  KINGS PLAZA via UTICA","NYCT_7347",TRUE,224,1259,5.4
0,"B1","MACKENZIE LOOP (no G-A-R: use 300000)","OCEAN PKY","NYCT_7190",FALSE,297,1016,0
1,"M11","RIVERBANK ST PK/CULTURAL CTR","WEST VILL ABINGDON SQ via 9 AV","NYCT_6648",TRUE,343,1076,0
1,"Bx36","RANDALL AV/OLMSTEAD AV","WASHINGTON HTS GW BRIDGE","NYCT_7696",FALSE,240,957,5.66666666666667
1,"Q58","41 RD/MAIN ST","LTD RIDGEWOOD TERM","NYCT_6517",TRUE,154,547,0.4
1,"Q20A","COLLEGE PT BL/15 AV","JAMAICA  MERRICK BL via 20 AV via MAIN S","NYCT_4680",FALSE,233,1059,0
0,"X1","ELTINGVILLE/TRANSIT CENTER","W MDTWN CNTRL PK S. via CHURCH via 6 AV","NYCT_2599",FALSE,241,532,0.933333333333333
0,"X1","ELTINGVILLE/TRANSIT CENTER","W MDTWN CNTRL PK S. via CHURCH via 6 AV","NYCT_2716",FALSE,303,537,0
0,"S96","WEST SHORE PLAZA/CHELSEA ST","LTD ST GEORGE via CASTLETON","NYCT_7039",FALSE,347,498,11.65
0,"B16","SHORE RD/4 AV","LEFRTS GDNS PROSPCT PK STA","NYCT_478",FALSE,282,428,4.55
0,"Q83","153 ST/HILLSIDE AV","227 ST 114 AV via LIBERTY","NYCT_8494",FALSE,170,900,4.43333333333333
1,"Bx36","RANDALL AV/OLMSTEAD AV","WASHINGTON HTS GW BRIDGE","NYCT_7709",FALSE,282,1172,2.68333333333333
0,"X27","SHORE RD/4 AV","MIDTOWN 57 ST via CHURCH via MADISON","NYCT_2404",FALSE,177,350,4.26666666666667
0,"B49","ORIENTAL BL/MACKENZIE ST","BD-STY FLTN ST via OCEAN AV via ROGRS AV","NYCT_4589",FALSE,340,902,5.8
0,"B1","MACKENZIE LOOP (no G-A-R: use 300000)","BAY RIDGE 4 AV","NYCT_5080",FALSE,335,873,13.5666666666667
0,"Q44-SBS","MERRICK BL/ARCHER AV","SELECT BUS BRONX ZOO via MAIN ST","NYCT_6018",FALSE,286,1109,0.733333333333333
0,"M101","ASTOR PL/3 AV","LTD FT GEORGE 193 ST via 3 AV","NYCT_5889",TRUE,287,975,10.9166666666667
1,"M2","168 ST/AUDUBON AV","LTD EAST VILLAGE 8 ST via 5 AV","NYCT_6369",TRUE,281,679,1.25
0,"Bx2","LINCOLN AV/E 137 ST","KNGSBRDG HTS FT INDEP ST via CONCOURSE","NYCT_5577",FALSE,157,881,3.9
1,"B41","CADMAN PLAZA WEST/JOHNSON ST","BERGEN BCH VETERANS AV via FLATBSH","NYCT_4232",FALSE,363,973,0
1,"B74","STILLWELL TERMINAL BUS LOOP","STILLWELL AV","NYCT_4894",FALSE,241,565,0
1,"S79-SBS","4 AV/86 ST","SELECT BUS SI MALL via HYLAN","NYCT_4057",TRUE,351,1081,12.3166666666667
1,"M102","W 146 ST/MALCOLM X BL","EAST VIL 6 ST via LEX AV","NYCT_6091",FALSE,241,1059,3.53333333333333
1,"Q27","138 ST/37 AV","JAMAICA AV","NYCT_8054",TRUE,350,1003,0.15
0,"Q84","ARCHER AV/153 ST","LAURELTON 238 ST via 120 AV","NYCT_8108",TRUE,231,697,0
1,"Q55","MYRTLE AV/HILLSIDE AV","RIDGEWOOD PALMETTO ST via MYRTLE","NYCT_3989",FALSE,164,664,1.53333333333333
0,"B44","KNAPP ST/SHORE PKY","FLUSHING AV via NOSTRND","NYCT_5061",FALSE,153,806,10.1
1,"M101","ST NICHOLAS AV/W 192 ST","LTD EAST VILLAGE 6 ST via LEX AV","NYCT_6079",FALSE,360,804,0
1,"B60","WASHINGTON PLZ/LANE 2","CANARSIE WILLIAMS AV","NYCT_7204",FALSE,289,460,5.13333333333333
1,"B38","METROPOLITAN AV/STARR ST","DNTWN BKLYN TILLARY ST","NYCT_7222",FALSE,172,624,2.18333333333333
0,"Q20B","MERRICK BL/ARCHER AV","COLLEGE PT via MAIN ST via 14 AV","NYCT_7379",FALSE,277,456,3.2
1,"M35","SUNKEN GARDEN LOOP/CHARLES H GAY CTR","HARLEM LEX AV - 125 ST","NYCT_1203",FALSE,339,1150,16.85
0,"B47","AV U/E 54 ST","BED-STUY WOODHULL HOSP via RALPH AV","NYCT_7205",TRUE,343,1031,2.26666666666667
0,"S59","MAIN ST/AMBOY RD","PT RICHMOND","NYCT_8266",FALSE,163,894,0
1,"B46","WASHINGTON PLZ/LANE3","KINGS PLAZA via UTICA","NYCT_7356",TRUE,226,3,2.51666666666667
1,"X10","E 57 ST/3 AV","PT RICHMOND via NARROWS RD via GANNON AV","NYCT_2661",FALSE,173,1269,2.4
0,"M72","WEST 66 ST/FREEDOM PL","EAST SIDE YORK AV CROSSTOWN","NYCT_5242",FALSE,177,1086,0.316666666666667
0,"M15-SBS","SOUTH FERRY/TERMINAL","SELECT BUS SERVICE 125ST via 1 AV","NYCT_1275",FALSE,276,988,3.53333333333333
1,"B82","SEAVIEW AV/PENNSYLVANIA AV","CNY ISLND STILLWELL AV via FLATLANDS AV","NYCT_4829",TRUE,343,127,5.08333333333333
0,"B47","AV U/E 54 ST","BED-STUY WOODHULL HOSP via RALPH AV","NYCT_7254",FALSE,167,412,0
0,"B20","POSTAL FACILITY RD/IN FRONT OF FACILITY","RIDGEWOOD FOREST AV","NYCT_6563",FALSE,164,1320,15.5
1,"B44","LEE AV/FLUSHING AV","SHEPSHD BAY KNAPP ST via NOSTRND","NYCT_4241",FALSE,241,557,0
0,"M20","STATE ST/WHITEHALL ST","LINCOLN CENTER 66 ST via 8 AV","NYCT_6737",FALSE,228,783,17.7666666666667
0,"M22","VESEY ST/NORTH END AV","LOWER E. SIDE FDR DR","NYCT_3915",FALSE,297,587,13.7666666666667
0,"X11","VICTORY BL/CATERET ST FERRY","DOWNTOWN WORTH ST","NYCT_2447",FALSE,167,518,3.9
1,"M96","E 97 ST/1 AV","WEST SIDE WEST END AV CROSSTOWN","NYCT_3843",FALSE,298,475,0
0,"M60-SBS","BROADWAY/W 106 ST","SELECT BUS SERVICE LA GUARDIA AIRPORT","NYCT_5854",TRUE,217,1186,5.23333333333333
0,"Q36","165 ST TERM/165 ST TERM BAY 6","LITTLE NECK LIRR STATION via JAMAICA AV","NYCT_8481",FALSE,164,468,7.1
1,"Q27","138 ST/37 AV","CAMBRIA HTS 120 AV","NYCT_6440",TRUE,281,1141,10.6833333333333
0,"Bx27","SOUNDVIEW AV/STEPHENS AV","W FARMS RD SOUTHERN BL","NYCT_7698",FALSE,229,471,0.483333333333333
1,"X1","CENTRAL PARK S/6 AV","ELTNGVLE TRANST CTR via HYLAN BL RICH AV","NYCT_2523",FALSE,339,1272,4.4
1,"Q32","82 ST/NORTHERN BL","MIDTOWN PENN ST","NYCT_7382",FALSE,223,615,0
0,"Q58","PALMETTO ST/MYRTLE AV","FLUSHING MAIN ST","NYCT_7292",FALSE,219,1224,2.33333333333333
1,"Bx6","FOOD CENTER DR/MARKET ST","RIVERSIDE DR","NYCT_7748",FALSE,170,1114,20.0833333333333
1,"M66","E 67 ST/YORK AV","LINCOLN CTR WEST END AV XTOWN","NYCT_5215",FALSE,361,1072,0
1,"B63","BROOKLYN BRIDGE PARK RD/JORALEMON ST","BAY RIDGE SHORE RD via 5 AV","NYCT_422",FALSE,361,714,5.01666666666667
1,"Q5","FRANCIS LEWIS BL/SUNRISE HY","JAMAICA PRSNS-ARCHR via MERRICK","NYCT_8466",FALSE,348,1018,5.8
1,"B41","CADMAN PLAZA WEST/JOHNSON ST","BERGEN BCH VETERANS AV via FLATBSH","NYCT_4241",FALSE,165,795,3.05
0,"B8","4 AV/95 ST","BROWNSVILLE ROCKAWAY AV","NYCT_249",FALSE,152,1347,8.35
0,"B42","ROCKAWAY PY/SHORE PY SR N","ROCK PKY STA","NYCT_7127",FALSE,284,177,0
0,"Bx36","W 179 ST/BROADWAY","SOUNDVIEW PUGSLEY AV","NYCT_7696",FALSE,173,974,26.7833333333333
1,"X28","E 23 ST/BROADWAY","CONEY ISLAND SEA GATE via BROADWAY","NYCT_2455",FALSE,236,1102,1.83333333333333
0,"B35","39 ST/1 AV","LTD BROWNSVILLE M GASTON BL via CHURCH","NYCT_746",FALSE,340,1223,7.93333333333333
1,"M11","RIVERBANK ST PK/CULTURAL CTR","WEST VILL ABINGDON SQ via 9 AV","NYCT_6669",FALSE,173,1094,5.86666666666667
1,"Q32","82 ST/NORTHERN BL","MIDTOWN PENN ST","NYCT_4697",FALSE,220,1225,10.8
1,"M5","BROADWAY/W 178 ST","LIMITED 31 ST 6 AV","NYCT_6710",FALSE,226,457,0.716666666666667
1,"M Shuttle Bus","PALMETTO ST/MYRTLE AV","M TRAIN TO BWAY","NYCT_6099",FALSE,356,1018,0
0,"Bx21","LINCOLN AV/E 138 ST","WESTCHESTER SQ","NYCT_279",TRUE,343,121,11.4833333333333
1,"M1","MALCOLM X BL/W 146 ST","E VILLAGE 8 ST via 5 AV","NYCT_6772",FALSE,236,388,5.81666666666667
0,"B46","KINGS PLAZA","BRIDGE PLZ via UTICA","NYCT_4610",FALSE,220,275,0.583333333333333
1,"M42","E 41 ST/1 AV","42 ST PIER CROSSTOWN","NYCT_4111",FALSE,214,512,2.13333333333333
0,"S61","YUKON AV/KMART DWY","ST GEORGE FERRY","NYCT_8267",FALSE,236,514,0.533333333333333
1,"M116","PLEASANT AV/E 120 ST","WEST SIDE BWAY - 106 ST XTOWN","NYCT_6722",FALSE,356,67,2.78333333333333
1,"Q58","41 RD/MAIN ST","RIDGEWOOD TERM","NYCT_6549",TRUE,176,702,11.75
1,"M15-SBS","E 126 ST/2 AV","SELECT BUS SERVICE SOUTH FERRY via 2 AV","NYCT_1254",FALSE,361,796,2.08333333333333
1,"Bx15","3 AV/E FORDHAM RD","W. HARLEM 12 AV via 3 AV via 125 ST","NYCT_686",TRUE,225,533,1.5
0,"S78","BRICKTOWN SHOPPING/CENTER","ST GEORGE FERRY via HYLAN","NYCT_8133",FALSE,362,1345,0
1,"Q32","82 ST/NORTHERN BL","MIDTOWN PENN ST","NYCT_7405",FALSE,220,476,0
0,"B35","CHURCH AV/MC DONALD AV","BROWNSVILLE M GASTON BL via CHURCH","NYCT_366",FALSE,348,839,1.36666666666667
0,"Q17","MERRICK BL/ARCHER AV","FLUSHING MAIN ST STA","NYCT_8465",FALSE,278,1155,21.1666666666667
1,"B64","SHORE RD/MACKAY PL","CONEY ISLAND STILLWELL AV","NYCT_5115",FALSE,359,1374,1.61666666666667
1,"M15","E 126 ST/2 AV","PIKE ST - DIVISION ST via 2 AV","NYCT_6118",FALSE,278,367,0
1,"S79-SBS","4 AV/86 ST","SELECT BUS SERVICE SI MALL via HYLAN","NYCT_4269",FALSE,172,519,0
1,"Bx1","RIVERDALE AV/W 231 ST","LTD MOTT HAVEN 136 ST via CONCOURSE","NYCT_4754",FALSE,298,957,5.35
1,"Bx3","W 238 ST/BROADWAY","WASHINGTON HTS GW BRIDGE","NYCT_8387",TRUE,301,618,0
1,"Bx32","VA HOSPITAL/VA HOSPITAL","MOTT HAVEN 136 ST","NYCT_7768",FALSE,340,1065,33.7
1,"Q58","41 RD/MAIN ST","RIDGEWOOD TERM","NYCT_6569",FALSE,342,438,12.3333333333333
1,"Q85","243 ST/147 AV","JAMAICA PRSNS - ARCHR","NYCT_8096",FALSE,219,545,0
1,"X27","E 57 ST/MADISON AV","BAY RIDGE SHORE RD via BROADWAY","NYCT_2484",FALSE,339,1278,8.78333333333333
1,"M100","BROADWAY/W 219 ST","E HARLM 1 AV-125 ST via BDWY via AMSTRDM","NYCT_8395",FALSE,180,514,0
1,"Bx2","SEDGWICK AV/FT INDEPENDENCE ST","MOTT HAVEN 136 ST via CONCOURSE","NYCT_5534",FALSE,348,661,0
0,"B57","BEARD ST/OTSEGO ST","MASPETH FRESH POND RD","NYCT_9674",FALSE,279,607,20.1166666666667
1,"B24","GREENPOINT AV/MANHATTAN AV","WILLIAMSBURG BRIDGE PLZ","NYCT_7207",FALSE,293,719,15.1666666666667
0,"X8","ELTINGVILLE/TRANSIT CENTER","DOWNTOWN FRANKFRT ST via WATER ST","NYCT_2567",FALSE,341,371,2.28333333333333
0,"B41","E 70 ST/VETERANS AV","DNTWN BKLYN CADMAN PLZ via FLATBSH","NYCT_4622",FALSE,230,1083,0.483333333333333
1,"Q56","JAMAICA AV/170 ST","BWAY JCT VN SNDRN AV","NYCT_4829",TRUE,281,1125,15.4
0,"Bx11","W 179 ST/BROADWAY","W FARMS RD SOUTHERN BL","NYCT_690",FALSE,353,1060,6.45
1,"Q24","ARCHER AV/MERRICK BL","LFYTT ST PTCHN AV via ATLNTC AV via BDWY","NYCT_6833",FALSE,362,1332,0
1,"Bx31","VAN CORTLANDT PK E/E 242 ST","WESTCHESTER SQ","NYCT_7722",FALSE,166,1029,0
0,"B9","SHORE RD/71 ST","KINGS PLAZA via 60 ST via AVENUE M","NYCT_339",FALSE,236,1072,2.63333333333333
1,"Q32","82 ST/NORTHERN BL","MIDTOWN PENN ST","NYCT_3998",FALSE,303,1062,0
1,"B13","WYCKOFF AV/DE KALB AV","SPRING CREEK GATEWAY MALL","NYCT_4550",FALSE,164,1018,0
0,"Bx28","VALENTINE AV/E 192 ST","CO-OP CITY EARHART LA via GUNHILL","NYCT_4085",TRUE,168,762,8.55
1,"Bx9","BROADWAY/W 262 ST","WEST FARMS","NYCT_5512",FALSE,363,988,4.25
0,"M86-SBS","W 86 ST/BROADWAY","SELECT BUS YORKVILLE 1AV-92 ST CROSSTOWN","NYCT_5836",FALSE,229,1083,9.05
0,"Q27","SPRINGFIELD BL / 119 AV","FLUSHING  MAIN ST STA","NYCT_8058",FALSE,153,904,23.1333333333333
0,"X27","SHORE RD/4 AV","MIDTOWN 57 ST via CHURCH via MADISON","NYCT_2404",FALSE,173,839,0
0,"Q4","TEARDROP/LAYOVER","CAMBRIA HTS 235 ST via LINDEN","NYCT_8452",FALSE,215,76,0
1,"Q46","LITTLE NECK PKY/260 ST","KEW GARDENS QUEENS BL via UNION","NYCT_6455",FALSE,178,636,0.766666666666667
0,"Bx21","LINCOLN AV/E 138 ST","WESTCHESTER SQ","NYCT_7649",FALSE,157,1052,24.1166666666667
1,"Bx2","SEDGWICK AV/FT INDEPENDENCE ST","MOTT HAVEN 136 ST via CONCOURSE","NYCT_5569",FALSE,348,1222,0
1,"B25","ALABAMA AV / FULTON ST","DNTWN BKLYN FURMAN ST via FULTON","NYCT_4932",FALSE,285,486,0.35
0,"X1","ELTINGVILLE/TRANSIT CENTER","23 ST via CHURCH","NYCT_2743",FALSE,283,454,0.233333333333333
1,"B82","SEAVIEW AV/PENNSYLVANIA AV","25 AV CROPSEY AV","NYCT_4837",TRUE,295,887,9.53333333333333
0,"Bx41-SBS","3 AVE/WESTCHESTER AV","SELECT BUS WLIMSBRIDGE GUN HILL RD","NYCT_5776",FALSE,297,520,1.71666666666667
0,"Bx27","SOUNDVIEW AV/STEPHENS AV","W FARMS RD SOUTHERN BL","NYCT_686",FALSE,223,1056,6.05
0,"Q16","39 AV/UNION ST","FT TOTTEN via F LEWIS","NYCT_7403",FALSE,230,1265,0
1,"Bx12","AMENDOLA PL/WILKINSON AV","SEDGWICK AV via PELHAM PKY via FRDHAM RD","NYCT_4784",FALSE,338,848,0
1,"M104","CONVENT AV/W 129 ST","41 ST via BROADWAY/7 AV","NYCT_3946",TRUE,175,612,1.1
1,"B47","MARCUS GARVEY BLVD/BROADWAY","KINGS PLAZA via RALPH AV","NYCT_4051",TRUE,224,521,1.93333333333333
1,"Q12","NORTHERN BL/MORGAN ST","FLUSHING MAIN ST STA via NORTHERN","NYCT_4479",FALSE,181,914,19.0833333333333
0,"Q12","ROOSEVELT AV/LAYOVER","LITTLE NECK GLENWOOD ST VIA NORTHERN","NYCT_4208",FALSE,347,1239,2.15
0,"M79-SBS","W 79 ST/RIVERSIDE DR","SELECT BUS YRKVLLE EAST END AV CROSSTOWN","NYCT_5861",FALSE,213,703,0
1,"B17","EASTERN PY/UTICA AV","CANARSIE E 80 ST","NYCT_4936",FALSE,360,511,0
0,"Bx12-SBS","BROADWAY/ISHAM ST","SELECT BUS BAY PLAZA CO-OP CITY","NYCT_5806",FALSE,296,428,1.86666666666667
0,"Bx5","SOUTHERN BL/WESTCHESTER AV","PELHAM BAY","NYCT_6123",FALSE,297,1144,7.18333333333333
0,"Bx15","ST CLAIRE PL/W 125 ST","FORDHAM PLZ via 3 AV","NYCT_7710",TRUE,294,1193,3.11666666666667
1,"Bx31","VAN CORTLANDT PK E/E 242 ST","WESTCHESTER SQ","NYCT_7747",FALSE,233,489,0
1,"M7","W 146 ST/MALCOLM X BL","14 ST via COLUMBUS via 7 AV","NYCT_6762",FALSE,164,1327,8.61666666666667
1,"B16","LINCOLN RD/FLATBUSH AV","BAY RIDGE SHORE RD","NYCT_750",FALSE,230,994,0
1,"B60","WASHINGTON PLZ/LANE 2","CANARSIE WILLIAMS AV","NYCT_4435",FALSE,236,704,30.1166666666667
0,"Q56","VAN SINDEREN AV/FULTON ST","JAMAICA 170 ST","NYCT_6843",TRUE,336,464,5
0,"M15-SBS","SOUTH FERRY/TERMINAL","SELECT BUS SERVICE 125ST via 1 AV","NYCT_1252",FALSE,338,834,0
1,"Shuttle-M2","METROPOLITAN AV/RENTAR PLZ","SHUTTLE #2 TO MYRTLE AVE - BROADWAY","NYCT_4525",FALSE,220,455,0
1,"Bx6","FOOD CENTER DR/MARKET ST","WASHINGTON HTS RIVERSIDE DR","NYCT_299",FALSE,298,1290,2.03333333333333
